*firstName,middleName,*firstLastName,secondLastName,*idType,*idNumber,*email,phone,*municipality,*address,gender,birthDate,maritalStatus,educationLevel,emergencyContact,emergencyPhone,afpProvider,notes,*hireDate,*contractType,probationEndDate,reportsTo,paymentFrequency,*salary,*workday,isVigilante,weeklyHours,workShift,occupationCode,vacationGranted,*tssKey,*position,department_catalog,*area,costCenter,*paymentMethod,*accountNumber,*bank,*accountType
Pedro,Carlos,Rodriguez,Gomez,cedula,40210000012,pedro.rodriguez12@example.com,8095550012,Santo Domingo Este,Calle 12 #112,femenino,1990-01-15,S,4,Contacto 12,8097770012,AFP Popular,Empleado de prueba 12,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,36000,completa,no,44,1,2412,1,012,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000012,Banco Popular Dominicano,ahorro
Maria,Carlos,Garcia,Gomez,cedula,40210000013,maria.garcia13@example.com,8095550013,Santo Domingo Este,Calle 13 #113,masculino,1990-01-15,S,4,Contacto 13,8097770013,AFP Popular,Empleado de prueba 13,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,36500,completa,no,44,1,2413,1,013,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000013,Banco Popular Dominicano,ahorro
Luis,Carlos,Martinez,Gomez,cedula,40210000014,luis.martinez14@example.com,8095550014,Santo Domingo Este,Calle 14 #114,femenino,1990-01-15,S,4,Contacto 14,8097770014,AFP Popular,Empleado de prueba 14,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,37000,completa,no,44,1,2414,1,014,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000014,Banco Popular Dominicano,ahorro
Ana,Carlos,Hernandez,Gomez,cedula,40210000015,ana.hernandez15@example.com,8095550015,Santo Domingo Este,Calle 15 #115,masculino,1990-01-15,S,4,Contacto 15,8097770015,AFP Popular,Empleado de prueba 15,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,37500,completa,no,44,1,2415,1,015,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000015,Banco Popular Dominicano,ahorro
Carlos,Carlos,Diaz,Gomez,cedula,40210000016,carlos.diaz16@example.com,8095550016,Santo Domingo Este,Calle 16 #116,femenino,1990-01-15,S,4,Contacto 16,8097770016,AFP Popular,Empleado de prueba 16,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,38000,completa,no,44,1,2416,1,016,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000016,Banco Popular Dominicano,ahorro
Laura,Carlos,Santana,Gomez,cedula,40210000017,laura.santana17@example.com,8095550017,Santo Domingo Este,Calle 17 #117,masculino,1990-01-15,S,4,Contacto 17,8097770017,AFP Popular,Empleado de prueba 17,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,38500,completa,no,44,1,2417,1,017,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000017,Banco Popular Dominicano,ahorro
Miguel,Carlos,Vargas,Gomez,cedula,40210000018,miguel.vargas18@example.com,8095550018,Santo Domingo Este,Calle 18 #118,femenino,1990-01-15,S,4,Contacto 18,8097770018,AFP Popular,Empleado de prueba 18,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,39000,completa,no,44,1,2418,1,018,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000018,Banco Popular Dominicano,ahorro
Rosa,Carlos,Castillo,Gomez,cedula,40210000019,rosa.castillo19@example.com,8095550019,Santo Domingo Este,Calle 19 #119,masculino,1990-01-15,S,4,Contacto 19,8097770019,AFP Popular,Empleado de prueba 19,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,39500,completa,no,44,1,2419,1,019,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000019,Banco Popular Dominicano,ahorro
Jose,Carlos,Mejia,Gomez,cedula,40210000020,jose.mejia20@example.com,8095550020,Santo Domingo Este,Calle 20 #120,femenino,1990-01-15,S,4,Contacto 20,8097770020,AFP Popular,Empleado de prueba 20,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,40000,completa,no,44,1,2420,1,020,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000020,Banco Popular Dominicano,ahorro
Juan,Carlos,Perez,Gomez,cedula,40210000021,juan.perez21@example.com,8095550021,Santo Domingo Este,Calle 21 #121,masculino,1990-01-15,S,4,Contacto 21,8097770021,AFP Popular,Empleado de prueba 21,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,40500,completa,no,44,1,2421,1,021,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000021,Banco Popular Dominicano,ahorro
Pedro,Carlos,Rodriguez,Gomez,cedula,40210000022,pedro.rodriguez22@example.com,8095550022,Santo Domingo Este,Calle 22 #122,femenino,1990-01-15,S,4,Contacto 22,8097770022,AFP Popular,Empleado de prueba 22,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,41000,completa,no,44,1,2422,1,022,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000022,Banco Popular Dominicano,ahorro
Maria,Carlos,Garcia,Gomez,cedula,40210000023,maria.garcia23@example.com,8095550023,Santo Domingo Este,Calle 23 #123,masculino,1990-01-15,S,4,Contacto 23,8097770023,AFP Popular,Empleado de prueba 23,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,41500,completa,no,44,1,2423,1,023,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000023,Banco Popular Dominicano,ahorro
Luis,Carlos,Martinez,Gomez,cedula,40210000024,luis.martinez24@example.com,8095550024,Santo Domingo Este,Calle 24 #124,femenino,1990-01-15,S,4,Contacto 24,8097770024,AFP Popular,Empleado de prueba 24,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,42000,completa,no,44,1,2424,1,024,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000024,Banco Popular Dominicano,ahorro
Ana,Carlos,Hernandez,Gomez,cedula,40210000025,ana.hernandez25@example.com,8095550025,Santo Domingo Este,Calle 25 #125,masculino,1990-01-15,S,4,Contacto 25,8097770025,AFP Popular,Empleado de prueba 25,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,42500,completa,no,44,1,2425,1,025,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000025,Banco Popular Dominicano,ahorro
Carlos,Carlos,Diaz,Gomez,cedula,40210000026,carlos.diaz26@example.com,8095550026,Santo Domingo Este,Calle 26 #126,femenino,1990-01-15,S,4,Contacto 26,8097770026,AFP Popular,Empleado de prueba 26,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,43000,completa,no,44,1,2426,1,026,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000026,Banco Popular Dominicano,ahorro
Laura,Carlos,Santana,Gomez,cedula,40210000027,laura.santana27@example.com,8095550027,Santo Domingo Este,Calle 27 #127,masculino,1990-01-15,S,4,Contacto 27,8097770027,AFP Popular,Empleado de prueba 27,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,43500,completa,no,44,1,2427,1,027,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000027,Banco Popular Dominicano,ahorro
Miguel,Carlos,Vargas,Gomez,cedula,40210000028,miguel.vargas28@example.com,8095550028,Santo Domingo Este,Calle 28 #128,femenino,1990-01-15,S,4,Contacto 28,8097770028,AFP Popular,Empleado de prueba 28,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,44000,completa,no,44,1,2428,1,028,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000028,Banco Popular Dominicano,ahorro
Rosa,Carlos,Castillo,Gomez,cedula,40210000029,rosa.castillo29@example.com,8095550029,Santo Domingo Este,Calle 29 #129,masculino,1990-01-15,S,4,Contacto 29,8097770029,AFP Popular,Empleado de prueba 29,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,44500,completa,no,44,1,2429,1,029,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000029,Banco Popular Dominicano,ahorro
Jose,Carlos,Mejia,Gomez,cedula,40210000030,jose.mejia30@example.com,8095550030,Santo Domingo Este,Calle 30 #130,femenino,1990-01-15,S,4,Contacto 30,8097770030,AFP Popular,Empleado de prueba 30,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,45000,completa,no,44,1,2430,1,030,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000030,Banco Popular Dominicano,ahorro
Juan,Carlos,Perez,Gomez,cedula,40210000031,juan.perez31@example.com,8095550031,Santo Domingo Este,Calle 31 #131,masculino,1990-01-15,S,4,Contacto 31,8097770031,AFP Popular,Empleado de prueba 31,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,45500,completa,no,44,1,2431,1,031,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000031,Banco Popular Dominicano,ahorro
Pedro,Carlos,Rodriguez,Gomez,cedula,40210000032,pedro.rodriguez32@example.com,8095550032,Santo Domingo Este,Calle 32 #132,femenino,1990-01-15,S,4,Contacto 32,8097770032,AFP Popular,Empleado de prueba 32,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,46000,completa,no,44,1,2432,1,032,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000032,Banco Popular Dominicano,ahorro
Maria,Carlos,Garcia,Gomez,cedula,40210000033,maria.garcia33@example.com,8095550033,Santo Domingo Este,Calle 33 #133,masculino,1990-01-15,S,4,Contacto 33,8097770033,AFP Popular,Empleado de prueba 33,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,46500,completa,no,44,1,2433,1,033,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000033,Banco Popular Dominicano,ahorro
Luis,Carlos,Martinez,Gomez,cedula,40210000034,luis.martinez34@example.com,8095550034,Santo Domingo Este,Calle 34 #134,femenino,1990-01-15,S,4,Contacto 34,8097770034,AFP Popular,Empleado de prueba 34,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,47000,completa,no,44,1,2434,1,034,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000034,Banco Popular Dominicano,ahorro
Ana,Carlos,Hernandez,Gomez,cedula,40210000035,ana.hernandez35@example.com,8095550035,Santo Domingo Este,Calle 35 #135,masculino,1990-01-15,S,4,Contacto 35,8097770035,AFP Popular,Empleado de prueba 35,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,47500,completa,no,44,1,2435,1,035,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000035,Banco Popular Dominicano,ahorro
Carlos,Carlos,Diaz,Gomez,cedula,40210000036,carlos.diaz36@example.com,8095550036,Santo Domingo Este,Calle 36 #136,femenino,1990-01-15,S,4,Contacto 36,8097770036,AFP Popular,Empleado de prueba 36,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,48000,completa,no,44,1,2436,1,036,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000036,Banco Popular Dominicano,ahorro
Laura,Carlos,Santana,Gomez,cedula,40210000037,laura.santana37@example.com,8095550037,Santo Domingo Este,Calle 37 #137,masculino,1990-01-15,S,4,Contacto 37,8097770037,AFP Popular,Empleado de prueba 37,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,48500,completa,no,44,1,2437,1,037,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000037,Banco Popular Dominicano,ahorro
Miguel,Carlos,Vargas,Gomez,cedula,40210000038,miguel.vargas38@example.com,8095550038,Santo Domingo Este,Calle 38 #138,femenino,1990-01-15,S,4,Contacto 38,8097770038,AFP Popular,Empleado de prueba 38,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,49000,completa,no,44,1,2438,1,038,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000038,Banco Popular Dominicano,ahorro
Rosa,Carlos,Castillo,Gomez,cedula,40210000039,rosa.castillo39@example.com,8095550039,Santo Domingo Este,Calle 39 #139,masculino,1990-01-15,S,4,Contacto 39,8097770039,AFP Popular,Empleado de prueba 39,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,49500,completa,no,44,1,2439,1,039,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000039,Banco Popular Dominicano,ahorro
Jose,Carlos,Mejia,Gomez,cedula,40210000040,jose.mejia40@example.com,8095550040,Santo Domingo Este,Calle 40 #140,femenino,1990-01-15,S,4,Contacto 40,8097770040,AFP Popular,Empleado de prueba 40,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,50000,completa,no,44,1,2440,1,040,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000040,Banco Popular Dominicano,ahorro
Juan,Carlos,Perez,Gomez,cedula,40210000041,juan.perez41@example.com,8095550041,Santo Domingo Este,Calle 41 #141,masculino,1990-01-15,S,4,Contacto 41,8097770041,AFP Popular,Empleado de prueba 41,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,50500,completa,no,44,1,2441,1,041,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000041,Banco Popular Dominicano,ahorro
Pedro,Carlos,Rodriguez,Gomez,cedula,40210000042,pedro.rodriguez42@example.com,8095550042,Santo Domingo Este,Calle 42 #142,femenino,1990-01-15,S,4,Contacto 42,8097770042,AFP Popular,Empleado de prueba 42,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,51000,completa,no,44,1,2442,1,042,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000042,Banco Popular Dominicano,ahorro
Maria,Carlos,Garcia,Gomez,cedula,40210000043,maria.garcia43@example.com,8095550043,Santo Domingo Este,Calle 43 #143,masculino,1990-01-15,S,4,Contacto 43,8097770043,AFP Popular,Empleado de prueba 43,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,51500,completa,no,44,1,2443,1,043,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000043,Banco Popular Dominicano,ahorro
Luis,Carlos,Martinez,Gomez,cedula,40210000044,luis.martinez44@example.com,8095550044,Santo Domingo Este,Calle 44 #144,femenino,1990-01-15,S,4,Contacto 44,8097770044,AFP Popular,Empleado de prueba 44,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,52000,completa,no,44,1,2444,1,044,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000044,Banco Popular Dominicano,ahorro
Ana,Carlos,Hernandez,Gomez,cedula,40210000045,ana.hernandez45@example.com,8095550045,Santo Domingo Este,Calle 45 #145,masculino,1990-01-15,S,4,Contacto 45,8097770045,AFP Popular,Empleado de prueba 45,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,52500,completa,no,44,1,2445,1,045,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000045,Banco Popular Dominicano,ahorro
Carlos,Carlos,Diaz,Gomez,cedula,40210000046,carlos.diaz46@example.com,8095550046,Santo Domingo Este,Calle 46 #146,femenino,1990-01-15,S,4,Contacto 46,8097770046,AFP Popular,Empleado de prueba 46,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,53000,completa,no,44,1,2446,1,046,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000046,Banco Popular Dominicano,ahorro
Laura,Carlos,Santana,Gomez,cedula,40210000047,laura.santana47@example.com,8095550047,Santo Domingo Este,Calle 47 #147,masculino,1990-01-15,S,4,Contacto 47,8097770047,AFP Popular,Empleado de prueba 47,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,53500,completa,no,44,1,2447,1,047,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000047,Banco Popular Dominicano,ahorro
Miguel,Carlos,Vargas,Gomez,cedula,40210000048,miguel.vargas48@example.com,8095550048,Santo Domingo Este,Calle 48 #148,femenino,1990-01-15,S,4,Contacto 48,8097770048,AFP Popular,Empleado de prueba 48,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,54000,completa,no,44,1,2448,1,048,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000048,Banco Popular Dominicano,ahorro
Rosa,Carlos,Castillo,Gomez,cedula,40210000049,rosa.castillo49@example.com,8095550049,Santo Domingo Este,Calle 49 #149,masculino,1990-01-15,S,4,Contacto 49,8097770049,AFP Popular,Empleado de prueba 49,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,54500,completa,no,44,1,2449,1,049,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000049,Banco Popular Dominicano,ahorro
Jose,Carlos,Mejia,Gomez,cedula,40210000050,jose.mejia50@example.com,8095550050,Santo Domingo Este,Calle 50 #150,femenino,1990-01-15,S,4,Contacto 50,8097770050,AFP Popular,Empleado de prueba 50,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,55000,completa,no,44,1,2450,1,050,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000050,Banco Popular Dominicano,ahorro
Juan,Carlos,Perez,Gomez,cedula,40210000051,juan.perez51@example.com,8095550051,Santo Domingo Este,Calle 51 #151,masculino,1990-01-15,S,4,Contacto 51,8097770051,AFP Popular,Empleado de prueba 51,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,55500,completa,no,44,1,2451,1,051,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000051,Banco Popular Dominicano,ahorro
Pedro,Carlos,Rodriguez,Gomez,cedula,40210000052,pedro.rodriguez52@example.com,8095550052,Santo Domingo Este,Calle 52 #152,femenino,1990-01-15,S,4,Contacto 52,8097770052,AFP Popular,Empleado de prueba 52,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,56000,completa,no,44,1,2452,1,052,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000052,Banco Popular Dominicano,ahorro
Maria,Carlos,Garcia,Gomez,cedula,40210000053,maria.garcia53@example.com,8095550053,Santo Domingo Este,Calle 53 #153,masculino,1990-01-15,S,4,Contacto 53,8097770053,AFP Popular,Empleado de prueba 53,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,56500,completa,no,44,1,2453,1,053,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000053,Banco Popular Dominicano,ahorro
Luis,Carlos,Martinez,Gomez,cedula,40210000054,luis.martinez54@example.com,8095550054,Santo Domingo Este,Calle 54 #154,femenino,1990-01-15,S,4,Contacto 54,8097770054,AFP Popular,Empleado de prueba 54,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,57000,completa,no,44,1,2454,1,054,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000054,Banco Popular Dominicano,ahorro
Ana,Carlos,Hernandez,Gomez,cedula,40210000055,ana.hernandez55@example.com,8095550055,Santo Domingo Este,Calle 55 #155,masculino,1990-01-15,S,4,Contacto 55,8097770055,AFP Popular,Empleado de prueba 55,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,57500,completa,no,44,1,2455,1,055,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000055,Banco Popular Dominicano,ahorro
Carlos,Carlos,Diaz,Gomez,cedula,40210000056,carlos.diaz56@example.com,8095550056,Santo Domingo Este,Calle 56 #156,femenino,1990-01-15,S,4,Contacto 56,8097770056,AFP Popular,Empleado de prueba 56,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,58000,completa,no,44,1,2456,1,056,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000056,Banco Popular Dominicano,ahorro
Laura,Carlos,Santana,Gomez,cedula,40210000057,laura.santana57@example.com,8095550057,Santo Domingo Este,Calle 57 #157,masculino,1990-01-15,S,4,Contacto 57,8097770057,AFP Popular,Empleado de prueba 57,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,58500,completa,no,44,1,2457,1,057,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000057,Banco Popular Dominicano,ahorro
Miguel,Carlos,Vargas,Gomez,cedula,40210000058,miguel.vargas58@example.com,8095550058,Santo Domingo Este,Calle 58 #158,femenino,1990-01-15,S,4,Contacto 58,8097770058,AFP Popular,Empleado de prueba 58,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,59000,completa,no,44,1,2458,1,058,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000058,Banco Popular Dominicano,ahorro
Rosa,Carlos,Castillo,Gomez,cedula,40210000059,rosa.castillo59@example.com,8095550059,Santo Domingo Este,Calle 59 #159,masculino,1990-01-15,S,4,Contacto 59,8097770059,AFP Popular,Empleado de prueba 59,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,59500,completa,no,44,1,2459,1,059,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000059,Banco Popular Dominicano,ahorro
Jose,Carlos,Mejia,Gomez,cedula,40210000060,jose.mejia60@example.com,8095550060,Santo Domingo Este,Calle 60 #160,femenino,1990-01-15,S,4,Contacto 60,8097770060,AFP Popular,Empleado de prueba 60,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,60000,completa,no,44,1,2460,1,060,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000060,Banco Popular Dominicano,ahorro
Juan,Carlos,Perez,Gomez,cedula,40210000061,juan.perez61@example.com,8095550061,Santo Domingo Este,Calle 61 #161,masculino,1990-01-15,S,4,Contacto 61,8097770061,AFP Popular,Empleado de prueba 61,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,60500,completa,no,44,1,2461,1,061,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000061,Banco Popular Dominicano,ahorro
Pedro,Carlos,Rodriguez,Gomez,cedula,40210000062,pedro.rodriguez62@example.com,8095550062,Santo Domingo Este,Calle 62 #162,femenino,1990-01-15,S,4,Contacto 62,8097770062,AFP Popular,Empleado de prueba 62,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,61000,completa,no,44,1,2462,1,062,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000062,Banco Popular Dominicano,ahorro
Maria,Carlos,Garcia,Gomez,cedula,40210000063,maria.garcia63@example.com,8095550063,Santo Domingo Este,Calle 63 #163,masculino,1990-01-15,S,4,Contacto 63,8097770063,AFP Popular,Empleado de prueba 63,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,61500,completa,no,44,1,2463,1,063,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000063,Banco Popular Dominicano,ahorro
Luis,Carlos,Martinez,Gomez,cedula,40210000064,luis.martinez64@example.com,8095550064,Santo Domingo Este,Calle 64 #164,femenino,1990-01-15,S,4,Contacto 64,8097770064,AFP Popular,Empleado de prueba 64,2024-01-15,tiempo_indefinido,2024-04-15,,mensual,62000,completa,no,44,1,2464,1,064,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,100000064,Banco Popular Dominicano,ahorro
