firstName,middleName,firstLastName,secondLastName,idType,idNumber,email,phone,municipality,address,gender,birthDate,maritalStatus,educationLevel,emergencyContact,emergencyPhone,afpProvider,notes,hireDate,contractType,probationEndDate,reportsTo,paymentFrequency,salary,workday,isVigilante,weeklyHours,workShift,occupationCode,vacationGranted,tssKey,position,department_catalog,area,costCenter,paymentMethod,accountNumber,bank,accountType
Alba,petronila,Cordero,Vargas,cedula,40210000011,alba.11@example.com,8095551011,Santo Domingo Este,Calle 11 # 33,masculino,1990-01-01,S,4,Contacto Familiar,8096661011,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,36000,completa,no,44,1,2411,1,012,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456011,Banco Popular Dominicano,ahorro
Luis,Ángel,Duque,Cano,cedula,40210000012,luis.12@example.com,8095551012,Santo Domingo Este,Calle 12 # 36,femenino,1990-01-01,S,4,Contacto Familiar,8096661012,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,37000,completa,no,44,1,2411,1,013,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456012,Banco Popular Dominicano,ahorro
Lola,Adrián,Delgado,Quintero,cedula,40210000013,lola.13@example.com,8095551013,Santo Domingo Este,Calle 13 # 39,masculino,1990-01-01,S,4,Contacto Familiar,8096661013,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,38000,completa,no,44,1,2411,1,014,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456013,Banco Popular Dominicano,ahorro
Ana,Mateo,Camacho,Martínez,cedula,40210000014,ana.14@example.com,8095551014,Santo Domingo Este,Calle 14 # 42,femenino,1990-01-01,S,4,Contacto Familiar,8096661014,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,39000,completa,no,44,1,2411,1,015,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456014,Banco Popular Dominicano,ahorro
Irene,Jorge,Palacios,Guzmán,cedula,40210000015,irene.15@example.com,8095551015,Santo Domingo Este,Calle 15 # 45,masculino,1990-01-01,S,4,Contacto Familiar,8096661015,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,40000,completa,no,44,1,2411,1,016,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456015,Banco Popular Dominicano,ahorro
Ariadna,Pablo,Téllez,Ponce,cedula,40210000016,ariadna.16@example.com,8095551016,Santo Domingo Este,Calle 16 # 48,femenino,1990-01-01,S,4,Contacto Familiar,8096661016,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,41000,completa,no,44,1,2411,1,017,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456016,Banco Popular Dominicano,ahorro
Elena,Lucas,Moreno,Sierra,cedula,40210000017,elena.17@example.com,8095551017,Santo Domingo Este,Calle 17 # 51,masculino,1990-01-01,S,4,Contacto Familiar,8096661017,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,42000,completa,no,44,1,2411,1,018,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456017,Banco Popular Dominicano,ahorro
Lola,Abril,Camacho,Cifuentes,cedula,40210000018,lola.18@example.com,8095551018,Santo Domingo Este,Calle 18 # 54,femenino,1990-01-01,S,4,Contacto Familiar,8096661018,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,43000,completa,no,44,1,2411,1,019,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456018,Banco Popular Dominicano,ahorro
Sofía,Simón,Contreras,Pérez,cedula,40210000019,sofía.19@example.com,8095551019,Santo Domingo Este,Calle 19 # 57,masculino,1990-01-01,S,4,Contacto Familiar,8096661019,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,44000,completa,no,44,1,2411,1,020,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456019,Banco Popular Dominicano,ahorro
Isabella,Natalia,Benítez,Montoya,cedula,40210000020,isabella.20@example.com,8095551020,Santo Domingo Este,Calle 20 # 60,femenino,1990-01-01,S,4,Contacto Familiar,8096661020,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,35000,completa,no,44,1,2411,1,021,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456020,Banco Popular Dominicano,ahorro
Alejandro,Ariadna,López,Vásquez,cedula,40210000021,alejandro.21@example.com,8095551021,Santo Domingo Este,Calle 21 # 63,masculino,1990-01-01,S,4,Contacto Familiar,8096661021,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,36000,completa,no,44,1,2411,1,022,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456021,Banco Popular Dominicano,ahorro
Marcos,Emilio,González,Guzmán,cedula,40210000022,marcos.22@example.com,8095551022,Santo Domingo Este,Calle 22 # 66,femenino,1990-01-01,S,4,Contacto Familiar,8096661022,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,37000,completa,no,44,1,2411,1,023,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456022,Banco Popular Dominicano,ahorro
Ángel,Diego,Duque,García,cedula,40210000023,ángel.23@example.com,8095551023,Santo Domingo Este,Calle 23 # 69,masculino,1990-01-01,S,4,Contacto Familiar,8096661023,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,38000,completa,no,44,1,2411,1,024,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456023,Banco Popular Dominicano,ahorro
Celeste,Alma,Guerra,Barrios,cedula,40210000024,celeste.24@example.com,8095551024,Santo Domingo Este,Calle 24 # 72,femenino,1990-01-01,S,4,Contacto Familiar,8096661024,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,39000,completa,no,44,1,2411,1,025,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456024,Banco Popular Dominicano,ahorro
Victoria,Abril,Sánchez,Rosales,cedula,40210000025,victoria.25@example.com,8095551025,Santo Domingo Este,Calle 25 # 75,masculino,1990-01-01,S,4,Contacto Familiar,8096661025,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,40000,completa,no,44,1,2411,1,026,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456025,Banco Popular Dominicano,ahorro
Ana,Mario,Varela,Escobar,cedula,40210000026,ana.26@example.com,8095551026,Santo Domingo Este,Calle 26 # 78,femenino,1990-01-01,S,4,Contacto Familiar,8096661026,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,41000,completa,no,44,1,2411,1,027,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456026,Banco Popular Dominicano,ahorro
Natalia,Tomás,Torres,Sánchez,cedula,40210000027,natalia.27@example.com,8095551027,Santo Domingo Este,Calle 27 # 81,masculino,1990-01-01,S,4,Contacto Familiar,8096661027,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,42000,completa,no,44,1,2411,1,028,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456027,Banco Popular Dominicano,ahorro
Sebastián,Hugo,Martínez,Mendoza,cedula,40210000028,sebastián.28@example.com,8095551028,Santo Domingo Este,Calle 28 # 84,femenino,1990-01-01,S,4,Contacto Familiar,8096661028,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,43000,completa,no,44,1,2411,1,029,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456028,Banco Popular Dominicano,ahorro
Rosa,Beatriz,Chávez,Contreras,cedula,40210000029,rosa.29@example.com,8095551029,Santo Domingo Este,Calle 29 # 87,masculino,1990-01-01,S,4,Contacto Familiar,8096661029,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,44000,completa,no,44,1,2411,1,030,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456029,Banco Popular Dominicano,ahorro
Arquitectura,,Arquitectura,,cedula,40210000030,arquitectura.30@example.com,8095551030,Santo Domingo Este,Calle 30 # 90,femenino,1990-01-01,S,4,Contacto Familiar,8096661030,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,35000,completa,no,44,1,2411,1,031,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456030,Banco Popular Dominicano,ahorro
Auto,,Auto,,cedula,40210000031,auto.31@example.com,8095551031,Santo Domingo Este,Calle 31 # 93,masculino,1990-01-01,S,4,Contacto Familiar,8096661031,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,36000,completa,no,44,1,2411,1,032,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456031,Banco Popular Dominicano,ahorro
Pamela,Margarita,Asencio,perez,cedula,40210000032,pamela.32@example.com,8095551032,Santo Domingo Este,Calle 32 # 96,femenino,1990-01-01,S,4,Contacto Familiar,8096661032,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,37000,completa,no,44,1,2411,1,033,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456032,Banco Popular Dominicano,ahorro
MARIA,MARIA,VARGAS,VARGAS,cedula,40210000033,maria.33@example.com,8095551033,Santo Domingo Este,Calle 33 # 99,masculino,1990-01-01,S,4,Contacto Familiar,8096661033,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,38000,completa,no,44,1,2411,1,034,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456033,Banco Popular Dominicano,ahorro
Milangela,Johana,Hurtado,Apocada,cedula,40210000034,milangela.34@example.com,8095551034,Santo Domingo Este,Calle 34 # 102,femenino,1990-01-01,S,4,Contacto Familiar,8096661034,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,39000,completa,no,44,1,2411,1,035,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456034,Banco Popular Dominicano,ahorro
DIGO,ARTURO,HERNANDEZ,HERNANDEZ,cedula,40210000035,digo.35@example.com,8095551035,Santo Domingo Este,Calle 35 # 105,masculino,1990-01-01,S,4,Contacto Familiar,8096661035,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,40000,completa,no,44,1,2411,1,036,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456035,Banco Popular Dominicano,ahorro
MARCOS,MARCOS,PEREZ,PEREZ,cedula,40210000036,marcos.36@example.com,8095551036,Santo Domingo Este,Calle 36 # 108,femenino,1990-01-01,S,4,Contacto Familiar,8096661036,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,41000,completa,no,44,1,2411,1,037,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456036,Banco Popular Dominicano,ahorro
RAMON,RAMON,FERNANDEZZ,FERNANDEZZ,cedula,40210000037,ramon.37@example.com,8095551037,Santo Domingo Este,Calle 37 # 111,masculino,1990-01-01,S,4,Contacto Familiar,8096661037,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,42000,completa,no,44,1,2411,1,038,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456037,Banco Popular Dominicano,ahorro
Santiago,,Santiago,,cedula,40210000038,santiago.38@example.com,8095551038,Santo Domingo Este,Calle 38 # 114,femenino,1990-01-01,S,4,Contacto Familiar,8096661038,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,43000,completa,no,44,1,2411,1,039,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456038,Banco Popular Dominicano,ahorro
MARIO,MARIO,FERNAN,FERNAN,cedula,40210000039,mario.39@example.com,8095551039,Santo Domingo Este,Calle 39 # 117,masculino,1990-01-01,S,4,Contacto Familiar,8096661039,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,44000,completa,no,44,1,2411,1,040,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456039,Banco Popular Dominicano,ahorro
KARINA,KARINA,Pérez,PEREZ,cedula,40210000040,karina.40@example.com,8095551040,Santo Domingo Este,Calle 40 # 120,femenino,1990-01-01,S,4,Contacto Familiar,8096661040,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,35000,completa,no,44,1,2411,1,041,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456040,Banco Popular Dominicano,ahorro
CARLOS,ANDRES,PEREZ,PEREZ,cedula,40210000041,carlos.41@example.com,8095551041,Santo Domingo Este,Calle 41 # 123,masculino,1990-01-01,S,4,Contacto Familiar,8096661041,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,36000,completa,no,44,1,2411,1,042,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456041,Banco Popular Dominicano,ahorro
ANDRIS,MARINO,PEREZ,PEREZ,cedula,40210000042,andris.42@example.com,8095551042,Santo Domingo Este,Calle 42 # 126,femenino,1990-01-01,S,4,Contacto Familiar,8096661042,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,37000,completa,no,44,1,2411,1,043,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456042,Banco Popular Dominicano,ahorro
FRANK,FRANK,PEREZ,PEREZ,cedula,40210000043,frank.43@example.com,8095551043,Santo Domingo Este,Calle 43 # 129,masculino,1990-01-01,S,4,Contacto Familiar,8096661043,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,38000,completa,no,44,1,2411,1,044,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456043,Banco Popular Dominicano,ahorro
PEDRO,FRANCISCO,PEREZ,PEREZ,cedula,40210000044,pedro.44@example.com,8095551044,Santo Domingo Este,Calle 44 # 132,femenino,1990-01-01,S,4,Contacto Familiar,8096661044,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,39000,completa,no,44,1,2411,1,045,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456044,Banco Popular Dominicano,ahorro
William,,William,,cedula,40210000045,william.45@example.com,8095551045,Santo Domingo Este,Calle 45 # 135,masculino,1990-01-01,S,4,Contacto Familiar,8096661045,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,40000,completa,no,44,1,2411,1,046,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456045,Banco Popular Dominicano,ahorro
ALAN,,ALAN,,cedula,40210000046,alan.46@example.com,8095551046,Santo Domingo Este,Calle 46 # 138,femenino,1990-01-01,S,4,Contacto Familiar,8096661046,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,41000,completa,no,44,1,2411,1,047,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456046,Banco Popular Dominicano,ahorro
Alam,,Alam,,cedula,40210000047,alam.47@example.com,8095551047,Santo Domingo Este,Calle 47 # 141,masculino,1990-01-01,S,4,Contacto Familiar,8096661047,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,42000,completa,no,44,1,2411,1,048,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456047,Banco Popular Dominicano,ahorro
Timoteo,,Mota,Álvarez,cedula,40210000048,timoteo.48@example.com,8095551048,Santo Domingo Este,Calle 48 # 144,femenino,1990-01-01,S,4,Contacto Familiar,8096661048,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,43000,completa,no,44,1,2411,1,049,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456048,Banco Popular Dominicano,ahorro
MARIA,JULIA,FERNANDA,FERNANDA,cedula,40210000049,maria.49@example.com,8095551049,Santo Domingo Este,Calle 49 # 147,masculino,1990-01-01,S,4,Contacto Familiar,8096661049,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,44000,completa,no,44,1,2411,1,050,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456049,Banco Popular Dominicano,ahorro
GABRIEL,ARMANDO,JIMENEZ,MOYA,cedula,40210000050,gabriel.50@example.com,8095551050,Santo Domingo Este,Calle 50 # 150,femenino,1990-01-01,S,4,Contacto Familiar,8096661050,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,35000,completa,no,44,1,2411,1,051,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456050,Banco Popular Dominicano,ahorro
JORGE,JORGE,VARGASS,VARGAS,cedula,40210000051,jorge.51@example.com,8095551051,Santo Domingo Este,Calle 51 # 153,masculino,1990-01-01,S,4,Contacto Familiar,8096661051,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,36000,completa,no,44,1,2411,1,052,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456051,Banco Popular Dominicano,ahorro
EDGAR,EDGAR,PEREZ,PEREZ,cedula,40210000052,edgar.52@example.com,8095551052,Santo Domingo Este,Calle 52 # 156,femenino,1990-01-01,S,4,Contacto Familiar,8096661052,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,37000,completa,no,44,1,2411,1,053,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456052,Banco Popular Dominicano,ahorro
jose,ANDRES,perez,BONILLA,cedula,40210000053,jose.53@example.com,8095551053,Santo Domingo Este,Calle 53 # 159,masculino,1990-01-01,S,4,Contacto Familiar,8096661053,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,38000,completa,no,44,1,2411,1,054,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456053,Banco Popular Dominicano,ahorro
Ana,Paula,Pinto,Estrada,cedula,40210000054,ana.54@example.com,8095551054,Santo Domingo Este,Calle 54 # 162,femenino,1990-01-01,S,4,Contacto Familiar,8096661054,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,39000,completa,no,44,1,2411,1,055,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456054,Banco Popular Dominicano,ahorro
Clara,Raúl,Paredes,Santos,cedula,40210000055,clara.55@example.com,8095551055,Santo Domingo Este,Calle 55 # 165,masculino,1990-01-01,S,4,Contacto Familiar,8096661055,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,40000,completa,no,44,1,2411,1,056,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456055,Banco Popular Dominicano,ahorro
Adrián,Miguel,Espinoza,Estrada,cedula,40210000056,adrián.56@example.com,8095551056,Santo Domingo Este,Calle 56 # 168,femenino,1990-01-01,S,4,Contacto Familiar,8096661056,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,41000,completa,no,44,1,2411,1,057,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456056,Banco Popular Dominicano,ahorro
Lola,Lucas,Moya,Cortés,cedula,40210000057,lola.57@example.com,8095551057,Santo Domingo Este,Calle 57 # 171,masculino,1990-01-01,S,4,Contacto Familiar,8096661057,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,42000,completa,no,44,1,2411,1,058,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456057,Banco Popular Dominicano,ahorro
Daniela,Ricardo,Delgado,Alvarado,cedula,40210000058,daniela.58@example.com,8095551058,Santo Domingo Este,Calle 58 # 174,femenino,1990-01-01,S,4,Contacto Familiar,8096661058,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,43000,completa,no,44,1,2411,1,059,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456058,Banco Popular Dominicano,ahorro
Juan,Manuel,Montoya,Quintero,cedula,40210000059,juan.59@example.com,8095551059,Santo Domingo Este,Calle 59 # 177,masculino,1990-01-01,S,4,Contacto Familiar,8096661059,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,44000,completa,no,44,1,2411,1,060,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456059,Banco Popular Dominicano,ahorro
Víctor,Adriana,Soto,Rivero,cedula,40210000060,víctor.60@example.com,8095551060,Santo Domingo Este,Calle 60 # 180,femenino,1990-01-01,S,4,Contacto Familiar,8096661060,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,35000,completa,no,44,1,2411,1,061,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456060,Banco Popular Dominicano,ahorro
Ained,,Ained,,cedula,40210000061,ained.61@example.com,8095551061,Santo Domingo Este,Calle 61 # 183,masculino,1990-01-01,S,4,Contacto Familiar,8096661061,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,36000,completa,no,44,1,2411,1,062,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456061,Banco Popular Dominicano,ahorro
Jartiza,A.,Del,Rosario,cedula,40210000062,jartiza.62@example.com,8095551062,Santo Domingo Este,Calle 62 # 186,femenino,1990-01-01,S,4,Contacto Familiar,8096661062,AFP Popular,Dato ficticio para pruebas,2024-01-15,tiempo_indefinido,2024-04-15,,quincenal,37000,completa,no,44,1,2411,1,063,Analista,Tecnología,Tecnología,CC-TEC-01,transferencia,00123456062,Banco Popular Dominicano,ahorro
